Dataset	Sequencing Platform	Assembler	Clipping with 10x coverage	Clipping with 10x coverage per 100Mbp	Regions larger than 1000 bp with zero coverage	Regions larger than 1000 bp with zero coverage per 100Mbp	>1Mb contaminated contigs	>1Mb contaminated contigs fraction	Contamination
HIFI_Gut_1	Hifi	metaMDBG_1.3	6	0.8519841720936461	0	0.0	2	0.015	0.27;0.0;0.22;0.02;0.59;0.1;0.42;0.47;0.0;0.04;0.06;0.04;0.24;0.34;0.31;0.02;0.02;2.15;0.09;0.16;0.87;0.03;0.22;0.89;0.48;0.13;0.03;0.14;0.92;0.09;0.42;0.03;0.4;1.51;0.2;0.18;0.34;0.11;0.06;0.5;0.04;0.0;0.34;0.34;0.06;3.95;0.05;0.04;0.18;0.5;0.79;0.01;0.34;0.45;0.18;0.68;0.72;0.2;2.23;0.29;0.18;0.11;0.61;0.39;1.51;0.0;0.0;0.17;0.0;0.09;0.13;0.11;0.24;0.01;0.43;0.09;0.69;1.02;0.0;0.0;0.17;0.43;0.0;0.15;0.36;0.13;0.04;2.96;0.33;0.49;0.02;1.47;3.25;0.11;0.05;0.04;1.53;0.61;0.42;0.89;0.34;0.19;0.33;0.1;0.21;0.61;0.05;0.22;0.14;0.23;0.06;0.06;12.27;0.65;0.32;0.01;1.27;0.07;0.27;0.38;0.07;1.08;0.54;0.86;6.8;0.39;0.1;0.14;0.09;0.15;0.0
HIFI_Gut_1	Hifi	myloasm	24	2.9704332395073725	64	7.921155305352993	16	0.097	12.89;0.6;0.08;0.02;0.82;8.55;0.79;0.01;0.21;0.0;1.51;0.21;0.88;0.07;0.24;0.07;0.05;0.13;0.0;3.83;0.04;0.16;0.0;0.16;0.13;0.24;0.0;0.39;10.34;0.07;2.02;0.58;0.1;2.67;0.79;1.34;0.1;0.1;12.75;0.64;0.0;0.34;0.86;0.03;0.03;0.34;10.78;0.1;0.19;0.32;0.44;6.34;0.16;17.76;0.09;1.06;2.04;0.92;0.45;0.27;1.38;0.35;0.14;0.29;0.46;0.61;0.0;0.32;0.68;0.11;0.0;0.52;1.63;0.42;0.13;1.18;0.86;0.19;0.91;0.06;0.14;0.43;0.07;0.16;0.03;3.69;0.03;12.47;0.72;0.09;33.66;0.62;0.0;3.16;17.95;2.75;1.47;0.97;0.19;1.7;8.52;0.1;53.76;0.02;13.38;0.02;0.35;1.72;0.55;0.39;0.08;2.07;0.51;0.18;0.1;0.63;0.42;0.38;0.39;0.58;0.0;0.52;15.57;0.44;0.0;0.24;0.39;0.16;0.03;0.55;0.45;0.08;0.68;0.16;0.18;3.31;0.08;0.04;0.3;0.24;2.51;41.3;0.81;0.04;0.75;0.2;1.07;0.1;42.13;0.22;0.25;0.16;0.38;0.2;0.05;0.4;0.06;0.06;0.0;1.66;0.14;2.99;0.59;0.27;0.01
HIFI_Gut_1	Hifi	metaflye	16	2.086840164975462	163	21.259684180687522	0	0.0	0.48;0.3;0.14;0.72;0.0;3.16;0.23;0.0;0.15;0.04;0.82;0.95;0.19;1.16;0.03;0.11;0.0;0.18;0.08;0.37;0.14;0.2;0.01;0.4;1.38;2.04;0.21;0.0;0.18;0.14;0.24;0.17;0.07;0.1;0.32;0.4;0.11;0.04;0.25;0.04;0.04;0.01;0.01;0.78;0.02;0.09;0.0;0.02;0.05;0.13;0.1;0.2;0.0;0.03;0.35;0.92;0.17;0.78;0.42;0.66;0.01;0.03;0.13;0.06;0.36;0.56;0.07;0.13;0.13;0.02;0.55;0.04;0.1;0.03;0.03;0.39;1.11;1.12;0.05;0.67;0.17;0.01;0.33;0.46;0.0;1.09;1.27;0.52;0.08;0.06;0.12;0.04;0.07;0.23;0.0;0.06;0.23;0.21;0.18;0.04;0.01;0.44;0.17;0.12;0.04;0.35;0.77;0.8;1.33;0.42;0.05;3.21;0.06;1.29;0.13;0.44
HIFI_Gut_2	Hifi	metaMDBG_1.3	2	0.19713041648727758	6	0.5913912494618327	3	0.021	0.54;0.88;0.1;0.16;0.06;0.73;0.36;0.06;0.23;0.94;3.73;12.61;0.99;7.18;0.06;0.35;0.25;0.0;0.12;0.72;0.02;1.66;0.06;0.63;0.08;0.0;0.47;1.81;0.07;0.19;1.03;0.39;0.01;3.87;0.34;2.59;1.24;0.2;0.86;0.27;0.2;0.18;0.01;0.04;0.11;0.66;1.07;0.13;0.1;0.86;0.32;0.92;0.23;0.01;0.46;0.66;0.27;0.2;0.21;7.16;0.18;0.02;1.21;0.57;0.01;0.09;0.0;0.19;0.01;0.18;0.95;0.09;0.08;0.99;0.07;0.07;0.32;3.56;0.23;2.56;0.67;0.86;0.51;0.53;0.64;0.83;0.32;0.15;0.12;0.21;3.06;0.23;0.17;0.0;1.26;0.18;0.1;0.05;0.04;0.11;0.17;1.03;0.0;1.27;0.01;0.12;0.12;0.12;1.22;0.39;0.06;0.59;0.85;0.2;4.3;0.49;0.15;0.02;0.57;0.07;0.1;0.02;0.7;0.65;0.07;0.04;0.66;0.07;1.86;1.89;0.58;0.05;0.8;0.1;1.35;0.26;0.03;0.37;1.0;3.14;0.07;1.09;0.13;0.17;0.13;0.16
HIFI_Gut_2	Hifi	myloasm	15	1.203078237364011	152	12.191192805288644	21	0.098	0.41;0.05;1.64;0.21;0.84;0.23;0.04;0.31;0.14;0.16;4.31;0.18;0.17;0.2;1.0;1.16;0.1;0.2;0.5;1.75;0.02;0.06;6.69;0.13;1.64;0.37;0.0;0.38;5.8;1.27;0.02;0.09;2.19;0.01;0.72;0.08;0.7;0.12;0.12;0.09;0.0;9.05;2.43;0.09;0.66;6.68;0.31;9.68;0.0;0.06;0.99;0.43;0.13;3.97;0.65;3.06;14.74;2.56;0.11;0.32;0.1;0.83;0.19;0.68;0.1;0.23;2.56;22.25;2.11;0.37;1.04;1.21;0.48;0.38;0.77;0.23;12.56;9.96;3.35;0.59;0.17;0.13;0.19;0.08;1.42;2.62;2.1;0.14;8.68;0.29;0.35;0.07;0.34;0.37;1.3;3.48;1.55;7.43;0.9;1.33;4.27;0.3;0.05;0.07;0.68;3.31;0.99;0.53;0.54;0.06;0.05;2.13;0.28;0.99;0.25;0.81;0.95;0.01;0.14;0.16;0.08;0.51;3.49;0.06;0.07;0.53;69.97;6.55;0.05;0.85;0.53;0.1;0.01;1.47;0.81;4.82;0.47;0.05;7.18;9.61;0.16;0.94;1.21;0.56;0.82;10.45;0.16;1.58;0.28;0.18;5.22;0.09;0.08;0.04;0.79;0.14;0.21;0.66;21.77;0.27;0.22;0.42;0.15;0.26;4.36;0.04;1.77;6.07;0.08;1.45;0.03;1.06;0.42;0.0;1.21;0.06;7.6;3.34;2.02;2.09;0.51;0.02;0.85;0.65;0.27;0.0;0.12;4.13;0.27;0.13;0.67;1.69;0.03;0.72;0.62;1.65;0.58;0.25;0.0;1.71;0.06;0.13;0.13;0.18;2.23;0.46;0.83;9.35;0.15;1.74;0.04;0.43;1.62;1.04;0.33
HIFI_Gut_2	Hifi	metaflye	15	1.3398298730296019	407	36.354050554869865	3	0.031	1.64;0.08;0.39;3.39;0.05;0.63;0.07;0.34;1.27;2.18;1.21;2.42;0.95;10.39;0.51;1.14;0.39;0.17;1.35;0.51;3.14;0.19;0.99;0.26;0.23;0.2;0.31;0.6;0.13;0.1;0.22;7.18;0.23;0.38;0.59;1.45;1.33;0.26;0.29;0.17;0.09;0.02;0.58;0.04;0.95;0.12;0.66;6.16;0.15;0.13;0.06;4.72;0.07;0.32;0.07;0.18;0.1;1.76;0.31;0.08;0.9;0.1;0.0;1.45;0.38;0.06;0.15;0.15;0.11;0.14;0.25;0.29;0.23;0.0;0.18;0.11;0.56;0.29;0.1;0.48;0.07;0.63;2.55;0.06;0.11;0.96;1.04;0.03;0.14;1.55;0.0;0.92;0.0;0.3;0.52;0.96
HIFI_AD2W40	Hifi	metaMDBG_1.3	6	0.38369522222881947	3	0.19184761111440973	5	0.023	0.23;0.39;3.47;1.06;0.0;9.89;3.69;2.13;0.16;0.11;0.35;0.8;0.2;0.3;0.08;1.5;0.06;0.14;0.08;0.97;0.05;0.19;0.54;4.26;0.05;0.58;0.71;0.24;0.59;0.89;0.85;0.03;0.02;0.01;0.01;0.02;0.02;1.0;0.17;0.01;0.03;0.0;0.36;11.71;0.02;0.14;0.5;1.21;1.08;3.53;1.16;0.0;0.68;0.47;0.15;0.69;0.12;0.01;1.03;3.52;0.05;0.01;0.24;0.47;0.38;0.23;0.1;0.19;2.07;0.0;0.16;0.0;0.23;0.41;0.02;2.87;0.11;2.42;1.05;0.05;3.95;1.1;0.04;0.04;0.1;0.12;0.68;0.04;0.88;0.12;0.72;0.33;3.04;0.25;3.38;0.09;0.02;0.02;1.14;1.04;1.15;0.04;6.21;1.24;0.03;0.08;1.31;0.35;0.0;0.06;0.03;0.0;0.23;1.44;0.19;0.45;1.16;2.41;1.66;0.4;0.9;0.04;0.01;1.3;0.12;0.99;0.0;0.1;3.37;0.03;0.59;0.76;0.98;0.75;0.49;0.55;0.17;0.85;1.32;0.02;0.52;0.22;9.03;0.28;3.75;0.69;0.03;0.81;0.88;0.17;1.13;0.7;1.8;0.63;1.25;0.05;0.0;2.91;2.8;0.78;0.02;0.24;3.39;1.27;2.81;0.51;2.01;0.4;0.03;1.09;0.34;1.25;0.32;0.07;0.41;0.43;0.29;0.07;5.02;0.04;0.76;1.05;0.03;0.07;0.02;1.61;3.38;1.08;1.64;0.14;0.37;2.79;0.35;0.26;1.1;0.03;0.73;1.04;0.23;0.08;1.94;0.0;0.17;0.17;0.05;0.12;0.08;0.02;0.0;1.21;0.1;0.0;0.04;0.5;0.1;0.27;0.25;1.53
HIFI_AD2W40	Hifi	myloasm	33	1.5289755517420869	1009	46.74958580932623	19	0.072	0.71;1.03;0.03;6.05;1.62;0.2;1.14;0.21;27.54;28.43;0.29;0.46;0.8;0.79;2.13;2.01;0.02;0.03;0.48;0.6;2.15;4.95;4.99;0.75;0.47;0.84;0.31;0.71;0.08;0.47;0.91;1.99;5.86;0.01;0.0;1.19;0.31;0.2;5.46;0.35;0.18;0.03;1.14;0.14;4.13;1.3;24.51;0.17;1.54;0.1;0.18;1.76;0.03;0.35;1.13;0.46;2.11;1.04;0.11;0.42;0.86;0.03;0.09;0.17;0.29;0.26;0.47;4.9;0.61;0.04;0.15;0.31;0.57;0.75;3.27;0.94;2.47;0.26;1.25;0.6;0.01;0.26;2.08;2.52;0.02;0.75;0.17;0.42;0.31;0.0;0.09;0.36;0.05;0.0;38.36;0.04;0.72;0.7;0.31;0.23;0.24;0.38;0.0;0.04;0.57;0.01;1.79;0.34;3.26;0.96;0.33;0.24;1.57;0.39;0.02;0.84;7.07;95.29;0.03;0.36;1.03;1.55;0.07;0.76;0.12;0.52;0.06;0.5;0.39;0.0;2.14;0.31;0.03;2.84;0.78;0.06;2.72;0.05;0.14;0.01;0.15;0.43;54.47;0.03;0.04;0.71;1.17;0.23;0.55;0.02;3.61;1.09;7.2;1.22;0.9;0.31;3.11;0.22;1.73;2.59;0.34;0.11;0.82;3.33;1.14;0.41;0.08;1.42;0.04;0.2;0.26;0.92;0.0;0.19;0.94;0.13;0.29;0.27;0.03;12.56;0.07;0.71;1.26;0.09;0.84;3.8;0.39;0.11;10.27;0.67;1.29;0.26;2.61;0.06;0.13;0.24;0.23;10.06;1.09;0.28;2.93;0.01;0.06;0.75;0.06;16.76;0.53;1.42;0.55;3.07;0.11;0.97;0.44;0.15;0.3;0.33;0.89;0.1;0.02;0.01;0.04;0.55;0.19;21.96;0.44;0.36;0.07;2.84;51.92;1.41;0.76;0.39;2.45;0.93;0.21;0.54;0.44;0.41;0.21;0.09;0.09;0.0;0.44;3.2;2.46;0.31;0.0;0.23;0.41;93.47;0.49;4.72;0.7;0.71;3.26;12.75;0.26;1.02;1.19;3.66;0.9;0.99;0.02;0.23
HIFI_AD2W40	Hifi	metaflye	213	12.035910206074956	1834	103.63314233775338	0	0.0	1.56;1.43;0.03;0.08;0.16;0.07;2.47;0.18;0.25;0.01;0.0;0.73;1.01;1.45;3.8;0.21;0.18;0.31;0.06;1.02;0.7;0.26;0.56;0.31;2.49;0.41;0.41;1.63;0.03;0.11;0.02;1.02;0.17;0.03;0.16;0.09;0.2;0.08;0.01;0.41;0.19;0.89;0.23;0.5;0.64;0.39;0.24;0.1;0.1;0.01;0.12;1.38;0.01;0.14;1.22;1.1;0.09;0.19;0.06;0.63;0.89;0.45;0.09;0.22;0.86;0.12;0.24;0.38;0.0;0.24;0.82;1.76;0.06;2.76;1.03;1.1;1.34;0.23;0.47;1.56;0.11;0.11;0.2;0.12;1.41;2.9;0.74
HIFI_SeaWater	Hifi	metaMDBG_1.3	6	0.5501156402671703	11	1.0085453404898121	2	0.028	0.42;0.17;0.21;0.0;0.06;0.78;0.04;1.22;0.01;0.03;0.05;0.0;0.64;0.0;4.06;0.23;1.39;0.26;0.03;0.18;0.0;0.7;0.37;0.21;0.03;0.05;0.01;0.26;0.25;1.54;0.11;0.05;0.01;0.01;0.91;0.15;0.03;5.25;0.03;0.0;0.68;0.0;0.01;0.04;0.15;0.21;0.16;0.18;1.19;1.47;0.04;0.01;0.03;0.13;0.0;0.04;0.59;0.15;0.03;13.8;0.0;0.03;0.26;0.18;0.71;0.11;0.03;0.05;0.11;0.05;0.06
HIFI_SeaWater	Hifi	myloasm	13	0.726382815874559	527	29.4464418435302	13	0.118	74.94;0.0;0.02;0.0;0.04;0.2;0.05;7.69;0.04;0.02;0.12;0.05;0.0;0.15;36.3;0.65;0.3;0.22;3.87;0.5;84.19;0.06;0.0;0.97;18.38;0.01;1.22;0.03;0.11;0.14;0.16;0.0;0.55;0.01;0.19;0.03;0.9;0.13;0.24;0.0;0.36;0.02;0.21;0.01;4.8;0.04;0.0;0.0;0.1;0.13;0.17;0.01;0.15;0.22;0.02;0.1;0.62;0.12;0.45;1.6;3.02;0.0;0.24;0.01;0.0;0.02;0.69;0.15;0.04;0.06;0.02;0.03;0.05;16.18;0.12;0.96;0.0;0.0;0.34;0.58;0.03;0.01;0.06;92.21;0.64;1.13;0.01;0.11;0.08;12.78;0.02;10.72;3.06;14.83;0.0;0.03;15.3;0.12;5.75;0.0;0.13;0.01;0.62;0.02;56.13;3.8;0.19;0.0;1.81;1.41
HIFI_SeaWater	Hifi	metaflye	60	4.0817757345726715	2135	145.24318655521088	0	0.0	0.0;0.06;0.1;0.31;0.07;0.64;0.31;0.25;0.01;0.07;0.43
